A00.0,Cholera wywołana przecinkowcem klasycznym Vibrio cholerae 01, biotyp cholerae
A00.1,Cholera wywołana przecinkowcem Vibrio cholerae 01, biotyp El-Tor
A00.9,Cholera, nieokreślona
A01.0,Dur brzuszny
R93.1,Nieprawidłowe wyniki badań obrazowych serca i krążenia wieńcowego
R93.2,Nieprawidłowe wyniki badań obrazowych wątroby i dróg żółciowych
R93.4,Nieprawidłowe wyniki badań obrazowych układu moczowego
R94.0,Nieprawidłowe wyniki badań czynnościowych centralnego układu nerwowego
R94.1,Nieprawidłowe wyniki badań czynnościowych obwodowego układu nerwowego i określonych narządów czucia
R94.2,Nieprawidłowe wyniki badań czynnościowych płuc
R94.3,Nieprawidłowe wyniki badań czynnościowych serca i naczyń
R94.4,Nieprawidłowe wyniki badań czynnościowych nerek
R94.5,Nieprawidłowe wyniki badań czynnościowych wątroby
R94.6,Nieprawidłowe wyniki badań czynnościowych tarczycy
R94.7,Nieprawidłowe wyniki badań czynnościowych innych gruczołów wydzielania wewnętrznego
R94.8,Nieprawidłowe wyniki badań czynnościowych innych narządów i układów
R95,Zespół nagłej śmierci dziecka
R96.0,Śmierć natychmiastowa
R96.1,Śmierć w ciągu pierwszych 24 godzin od pojawienia się objawów, nie dająca się wytłumaczyć inaczej
S00.0,Powierzchowny uraz powłok głowy
S00.1,Stłuczenie powieki i okolicy oka
S00.2,Inne powierzchowne urazy powieki i okolicy oczodołowej
S00.3,Powierzchowny uraz nosa
S00.4,Powierzchowny uraz ucha
S00.5,Powierzchowny uraz wargi i jamy ustnej
S00.7,Liczne powierzchowne urazy głowy
S00.8,Powierzchowny uraz innych części głowy
S00.9,Powierzchowny uraz głowy, część nieokreślona
S01.0,Otwarta rana powłok głowy
S01.1,Otwarta rana powieki i okolicy oczodołowej
S01.2,Otwarta rana nosa
S01.3,Otwarta rana ucha
S01.4,Otwarta rana policzka i okolicy skroniowo-żuchwowej
S01.5,Otwarta rana wargi i jamy ustnej
S01.7,Liczne rany otwarte głowy
S01.8,Otwarta rana innych okolic głowy
S01.9,Otwarta rana głowy, część nieokreślona
S02.0,Złamanie kości sklepienia czaszki
S02.1,Złamanie kości podstawy czaszki
S02.2,Złamanie kości nosowych
S02.5,Złamanie zęba
S02.6,Złamanie żuchwy
S02.7,Wielokrotne złamania kości czaszki i twarzoczaszki
S02.8,Złamanie innych kości czaszki i twarzoczaszki
S02.9,Złamanie kości czaszki i twarzoczaszki, część nieokreślona
S03.0,Zwichnięcie żuchwy
S03.1,Zwichnięcie przegrody chrzęstnej nosa
S03.2,Zwichnięcie zęba
S03.3,Zwichnięcie innych nieokreślonych części głowy
S03.4,Skręcenie i naderwanie żuchwy
S03.5,Skręcenie i naderwanie stawów i więzadeł innych i nieokreślonych części głowy
S04.0,Uraz nerwu i dróg wzrokowych
S04.1,Uraz nerwu okoruchowego
S04.2,Uraz nerwu bloczkowego
S04.3,Uraz nerwu trójdzielnego
S04.4,Uraz nerwu odwodzącego
S04.5,Uraz nerwu twarzowego
S04.6,Uraz nerwu przedsionkowo-ślimakowego
S04.7,Uraz nerwu dodatkowego
S04.8,Uraz innych nerwów czaszkowych
S04.9,Uraz nieokreślonego nerwu czaszkowego
S05.0,Uraz spojówki i abrazja rogówki bez wzmianki o ciele obcym
S05.1,Stłuczenie gałki ocznej i tkanek oczodołu
S05.2,Zranienie oka z pęknięciem i wypadnięciem lub utratą tkanek oka
S05.3,Zranienie oka bez wypadnięcia lub utraty tkanek oka
S05.4,Rana drążąca oczodołu z lub bez ciała obcego
S05.5,Rana drążąca gałki ocznej z ciałem obcym
S05.6,Rana drążąca gałki ocznej bez ciała obcego
S05.7,Wyrwanie oka
S05.8,Inne urazy oka i oczodołu
S05.9,Uraz oka i oczodołu, nieokreślony
S06.0,Wstrząśnienie
S06.1,Urazowy obrzęk mózgu
S06.2,Rozlany uraz mózgu
S06.3,Ogniskowy uraz mózgu
S06.4,Krwotok nadtwardówkowy
S06.5,Urazowy krwotok podtwardówkowy
S06.6,Urazowy krwotok podpajęczynówkowy
S06.7,Uraz śródczaszkowy z długotrwałym okresem nieprzytomności
S06.8,Inne urazy śródczaszkowe
S06.9,Uraz śródczaszkowy, nieokreślony
S07.1,Uraz zmiażdżeniowy czaszki
S07.8,Uraz zmiażdżeniowy innych części głowy
S07.9,Uraz zmiażdżeniowy głowy, część nieokreślona
S08.0,Oderwanie powłok głowy
S09.0,Uraz naczyń krwionośnych głowy niesklasyfikowany gdzie indziej
S09.1,Uraz mięśnia i ścięgna głowy
S09.2,Urazowe pęknięcie błony bębenkowej
S09.7,Liczne urazy głowy
S09.8,Inne określone urazy głowy
S09.9,Nieokreślony uraz głowy
S10.0,Stłuczenie gardła
S10.1,Inne nieokreślone powierzchowne urazy gardła
S10.7,Liczne powierzchowne urazy szyi
S10.8,Powierzchowne urazy innych części szyi
S10.9,Powierzchowny uraz szyi, część nieokreślona
S11.0,Otwarta rana obejmująca krtań i tchawicę
S11.1,Otwarta rana obejmująca gruczoł tarczowy
S11.2,Otwarta rana obejmująca gardziel i część szyjną przełyku
S12.0,Złamanie 1 kręgu szyjnego
S12.1,Złamanie 2 kręgu szyjnego
S12.2,Złamanie innego określonego kręgu szyjnego
S12.7,Liczne złamania odcinka szyjnego kręgosłupa
S12.8,Złamanie innych elementów chrzęstno-kostnych szyi
S12.9,Złamanie w obrębie szyi, część nieokreślona
S13.0,Urazowe pęknięcie krążka międzykręgowego
S13.1,Zwichnięcie kręgu odcinka szyjnego kręgosłupa
S13.2,Zwichnięcie w innych i nieokreślonych częściach odcinka szyjnego kręgosłupa
S13.3,Liczne zwichnięcia odcinka szyjnego kręgosłupa
S13.4,Skręcenie i naderwanie odcinka szyjnego kręgosłupa
S13.5,Skręcenie i naderwanie rejonu tarczycy
S13.6,Skręcenie i naderwanie stawów i więzadeł innych i nieokreślonych części szyi
S14.0,Wstrząśnienie i obrzęk odcinka szyjnego rdzenia kręgowego
S14.1,Inne i nieokreślone urazy odcinka szyjnego rdzenia kręgowego
S14.2,Uraz korzeni nerwowych nerwów odcinka szyjnego rdzenia kręgowego
S14.3,Uraz splotu ramiennego
S14.4,Uraz obwodowych nerwów szyi
S14.5,Uraz nerwów układu sympatycznego szyi
S14.6,Uraz innych i nieokreślonych nerwów szyi
S16,Uraz mięśnia i ścięgna na poziomie szyi
S19.7,Liczne urazy szyi
S19.8,Inne określone urazy szyi
S19.9,Nieokreślony uraz szyi
S20.1,Inne i nieokreślone powierzchowne urazy sutka
S20.2,Stłuczenie klatki piersiowej
S20.3,Inne powierzchowne urazy przedniej ściany klatki piersiowej
S20.4,Inne powierzchowne urazy ściany tylnej klatki piersiowej
S20.7,Liczne powierzchowne urazy klatki piersiowej
S20.8,Powierzchowny uraz innych lub nieokreślonych części klatki piersiowej
S21.1,Otwarta rana ściany przedniej klatki piersiowej
S21.2,Otwarta rana ściany tylnej klatki piersiowej
S21.7,Liczne otwarte rany ścian klatki piersiowej
S21.8,Otwarta rana innych części klatki piersiowej
S21.9,Otwarta rana klatki piersiowej, część nieokreślona
S22.0,Złamanie kręgów odcinka piersiowego kręgosłupa
S22.1,Liczne złamania odcinka piersiowego kręgosłupa
S22.2,Złamanie mostka
S22.3,Złamanie żebra
S22.4,Liczne złamania żeber
S22.8,Złamanie innych części rusztowania kostnego klatki piersiowej
S22.9,Złamanie rusztowania kostnego klatki piersiowej, nie określone
S23.0,Urazowe pęknięcie krążka międzykręgowego odcinka piersiowego kręgosłupa
S23.1,Zwichnięcie kręgu odcinka piersiowego kręgosłupa
S23.2,Zwichnięcie innych i nieokreślonych części klatki piersiowej
S23.3,Skręcenie i naderwanie odcinka piersiowego kręgosłupa
S23.4,Skręcenie i naderwanie żeber i mostka
S23.5,Skręcenie i naderwanie innych i nieokreślonych części klatki piersiowej
S24.0,Wstrząśnienie i obrzęk rdzenia kręgowego odcinka piersiowego kręgosłupa
S24.1,Inne i nieokreślone urazy rdzenia kręgowego odcinka piersiowego kręgosłupa
S24.2,Uraz nerwów rdzeniowych odcinka piersiowego kręgosłupa
S24.3,Uraz obwodowych nerwów klatki piersiowej
S24.4,Uraz nerwów układu sympatycznego klatki piersiowej
S24.5,Uraz innych nerwów klatki piersiowej
S24.6,Uraz nieokreślonego nerwu klatki piersiowej
S25.3,Uraz żyły ramienno-głowowej lub podobojczykowej
S26.0,Uraz serca z tamponadą worka osierdziowego
S26.8,Inne urazy serca
S26.9,Uraz serca, nieokreślony
S27.0,Urazowa odma opłucnowa
S27.1,Urazowy krwotok do jamy opłucnowej
S27.2,Urazowa odma opłucnowa z krwotokiem do jamy opłucnowej
S27.3,Inne urazy płuca
S27.6,Uraz opłucnej
S27.7,Liczne urazy narządów klatki piersiowej
S28.0,Zmiażdżenie klatki piersiowej
S28.1,Urazowa amputacja części klatki piersiowej
S29.0,Uraz mięśnia i ścięgna na poziomie klatki piersiowej
S29.7,Liczne urazy klatki piersiowej
S29.8,Inne określone urazy klatki piersiowej
S29.9,Nieokreślony uraz klatki piersiowej
S30.0,Stłuczenie dolnej części grzbietu i miednicy
S30.1,Stłuczenie ściany brzucha
S30.2,Stłuczenie narządów płciowych zewnętrznych
S30.7,Liczne powierzchowne urazy brzucha, dolnej części grzbietu i miednicy
S30.8,Inne powierzchowne urazy brzucha, dolnej części grzbietu i miednicy
S30.9,Powierzchowny uraz brzucha, dolnej części grzbietu i miednicy, część nieokreślona
S31.0,Otwarta rana dolnej części grzbietu i miednicy
S31.1,Otwarta rana ściany brzucha
S31.2,Otwarta rana prącia
S31.3,Otwarta rana moszny i jąder
S31.4,Otwarta rana pochwy i sromu
S31.5,Otwarta rana innych i nieokreślonych narządów płciowych zewnętrznych
S31.7,Liczne otwarte rany brzucha, dolnej części grzbietu i miednicy
S32.0,Złamanie kręgu odcinka lędźwiowego kręgosłupa
S32.1,Złamanie kości krzyżowej
S32.2,Złamanie kości guzicznej
S32.3,Złamanie kości biodrowej
S32.4,Złamanie panewki stawu biodrowego
S32.5,Złamanie kości łonowej
S32.7,Liczne złamania odcinka lędźwiowego kręgosłupa
S32.8,Złamanie innych i nieokreślonych części odcinka lędźwiowego kręgosłupa i miednicy
S33.0,Urazowe pęknięcie krążka międzykręgowego odcinka lędźwiowego kręgosłupa
S33.1,Zwichnięcie kręgu odcinka lędźwiowego kręgosłupa
S33.2,Zwichnięcie stawu krzyżowo-biodrowego i krzyżowo-guzicznego
S33.3,Zwichnięcie innych i nieokreślonych części odcinka lędźwiowego kręgosłupa i miednicy
S33.4,Urazowe rozerwanie spojenia łonowego
S33.5,Skręcenie i naderwanie odcinka lędźwiowego kręgosłupa
S33.6,Skręcenie i naderwanie stawu krzyżowo-biodrowego
S33.7,Skręcenie i naderwanie innych i nieokreślonych części odcinka lędźwiowego kręgosłupa i miednicy
S34.0,Wstrząśnienie i obrzęk rdzenia kręgowego odcinka lędźwiowego kręgosłupa
S34.1,Inny uraz rdzenia kręgowego części lędźwiowej kręgosłupa
S34.2,Uraz nerwów rdzeniowych odcinka lędźwiowego i krzyżowego kręgosłupa
S34.3,Uraz ogona końskiego
S34.4,Uraz splotu lędźwiowo-krzyżowego
S34.5,Uraz nerwów układu sympatycznego części lędźwiowej, krzyżowej i miedniczej kręgosłupa
S34.6,Uraz obwodowego nerwu (nerwów) brzucha, dolnej części grzbietu i miednicy
S34.8,Uraz innych i nieokreślonych nerwów na poziomie brzucha, dolnej części grzbietu i miednicy
S35.1,Uraz żyły głównej dolnej
S35.2,Uraz pnia trzewnego i tętnicy krezkowej
S35.4,Uraz naczyń krwionośnych nerki
S36.1,Uraz wątroby lub pęcherzyka żółciowego
S36.4,Uraz jelita cienkiego
S36.6,Uraz prostnicy
S37.3,Uraz cewki moczowej
S37.6,Uraz macicy
S38.2,Urazowa amputacja narządów płciowych zewnętrznych
S39.0,Uraz mięśni i więzadeł brzucha, dolnej części grzbietu i miednicy
S39.6,Uraz narządu (narządów) jamy brzusznej wraz z narządem (narządami) miednicy
S39.7,Inne mnogie urazy brzucha, dolnej części grzbietu i miednicy
S39.8,Inne określone urazy brzucha, dolnej części grzbietu i miednicy
S39.9,Nieokreślone urazy brzucha, dolnej części grzbietu i miednicy
S40.0,Stłuczenie barku i ramienia
S40.7,Mnogie powierzchowne urazy barku i ramienia
S40.8,Inne powierzchowne urazy barku i ramienia
S41.0,Otwarta rana barku
S41.1,Otwarta rana ramienia
S41.7,Mnogie otwarte rany barku i ramienia
S41.8,Otwarta rana innych i nieokreślonych części obręczy barkowej
S42.0,Złamanie obojczyka
S42.1,Złamanie łopatki
S42.2,Złamanie nasady bliższej kości ramiennej
S42.3,Złamanie trzonu kości ramiennej
S42.4,Złamanie nasady dalszej kości ramiennej
S42.7,Mnogie złamania obojczyka, łopatki i kości ramiennej
S42.8,Złamanie innych części barku i ramienia
S42.9,Złamanie obręczy barkowej, część nieokreślona
S43.0,Zwichnięcie stawu ramiennego
S43.1,Zwichnięcie stawu barkowo-obojczykowego
S43.2,Zwichnięcie stawu mostkowo-obojczykowego
S43.3,Zwichnięcie innych i nieokreślonych części obręczy barkowej
S43.4,Skręcenie i naderwanie stawu ramiennego
S43.5,Skręcenie i naderwanie stawu barkowo-obojczykowego
S43.6,Skręcenie i naderwanie stawu mostkowo-obojczykowego
S43.7,Skręcenie i naderwanie innych i nieokreślonych części obręczy barkowej
S44.0,Uraz nerwu łokciowego na poziomie ramienia
S44.1,Uraz nerwu pośrodkowego na poziomie ramienia
S44.2,Uraz nerwu promieniowego na poziomie ramienia
S44.3,Uraz nerwu pachowego
S44.4,Uraz nerwu mięśniowo-skórnego
S44.5,Uraz nerwu czuciowego na poziomie barku i ramienia
S44.7,Uraz wielu nerwów na poziomie barku i ramienia
S44.8,Uraz innych nerwów na poziomie barku i ramienia
S44.9,Uraz nieokreślonego nerwu na poziomie barku i ramienia
S46.0,Uraz ścięgien rotatorów zewnętrznych barku
S46.1,Uraz mięśnia i ścięgna głowy długiej mięśnia dwugłowego ramienia
S46.2,Uraz mięśnia i ścięgna innej części mięśnia dwugłowego ramienia
S46.3,Uraz mięśnia i ścięgna mięśnia trójgłowego ramienia
S46.7,Uraz licznych mięśni i ścięgien na poziomie barku i ramienia
S46.8,Uraz innych mięśni i ścięgien na poziomie barku i ramienia
S46.9,Uraz nieokreślonego mięśnia i ścięgna na poziomie barku i ramienia
S48.0,Urazowa amputacja w miejscu stawu ramiennego
S48.1,Urazowa amputacja na poziomie pomiędzy barkiem i łokciem
S48.9,Urazowa amputacja barku i ramienia, poziom nieokreślony
S49.7,Mnogie urazy barku i ramienia
S49.8,Inne określone urazy barku i ramienia
S49.9,Nieokreślony uraz barku i ramienia
S50.0,Stłuczenie łokcia
S50.1,Stłuczenie innych, nieokreślonych części przedramienia
S50.7,Mnogie powierzchowne urazy przedramienia
S50.8,Inne powierzchowne urazy przedramienia
S51.0,Otwarta rana łokcia
S51.7,Mnogie rany otwarte przedramienia
S51.8,Otwarta rana innych części przedramienia
S51.9,Otwarta rana przedramienia, część nieokreślona
S52.0,Złamanie nasady bliższej kości łokciowej
S52.1,Złamanie nasady bliższej kości promieniowej
S52.2,Złamanie trzonu kości łokciowej
S52.3,Złamanie trzonu kości promieniowej
S52.4,Złamanie trzonów kości łokciowej i promieniowej
S52.5,Złamanie nasady dalszej kości promieniowej
S52.6,Złamanie nasad dalszych kości łokciowej i promieniowej
S52.7,Mnogie złamania przedramienia
S52.8,Złamanie innych części przedramienia
S52.9,Złamanie przedramienia, część nieokreślona
S53.0,Zwichnięcie głowy kości promieniowej
S53.1,Zwichnięcie stawu łokciowego, nie określone
S53.2,Urazowe pęknięcie więzadła pobocznego promieniowego
S53.3,Urazowe pęknięcie więzadła pobocznego łokciowego
S53.4,Skręcenie i naderwanie stawu łokciowego
S54.0,Uraz nerwu łokciowego na poziomie przedramienia
S54.1,Uraz nerwu pośrodkowego na poziomie przedramienia
S54.2,Uraz nerwu promieniowego na poziomie przedramienia
S54.3,Uraz nerwów czuciowych skórnych na poziomie przedramienia
S54.7,Uraz licznych nerwów na poziomie przedramienia
S54.8,Uraz innych nerwów na poziomie przedramienia
S54.9,Uraz nieokreślonego nerwu na poziomie przedramienia
S55.0,Uraz tętnicy łokciowej na poziomie przedramienia
S55.1,Uraz tętnicy promieniowej na poziomie przedramienia
S55.2,Uraz żył na poziomie przedramienia
S55.7,Uraz licznych naczyń krwionośnych na poziomie przedramienia
S55.8,Uraz innych naczyń krwionośnych na poziomie przedramienia
S55.9,Uraz nieokreślonego naczynia krwionośnego na poziomie przedramienia
S56.0,Uraz mięśnia i ścięgna długiego zginacza kciuka na poziomie przedramienia
S56.1,Uraz mięśnia i ścięgna innego palca (palców) na poziomie przedramienia
S56.2,Uraz innego mięśnia i ścięgna zginacza na poziomie przedramienia
S56.3,Uraz mięśnia i ścięgna prostownika lub długiego odwodziciela kciuka na poziomie przedramienia
S56.4,Uraz mięśnia i ścięgna prostownika innego palca (palców) na poziomie przedramienia
S56.5,Uraz mięśnia i ścięgna innego prostownika na poziomie przedramienia
S56.7,Uraz licznych mięśni i ścięgien na poziomie przedramienia
S56.8,Uraz innych i nieokreślonych mięśni i ścięgien na poziomie przedramienia
S57.0,Uraz zmiażdżeniowy łokcia
S57.8,Uraz zmiażdżeniowy innych części przedramienia
S57.9,Uraz zmiażdżeniowy przedramienia, część nieokreślona
S58.0,Urazowa amputacja na poziomie łokcia
S58.1,Urazowa amputacja na poziomie między łokciem i nadgarstkiem
S58.9,Urazowa amputacja przedramienia, poziom nieokreślony
S59.7,Mnogie urazy przedramienia
S59.8,Inne określone urazy przedramienia
S59.9,Nieokreślony uraz przedramienia
S60.1,Stłuczenie palca (palców) z uszkodzeniem paznokcia
S60.7,Mnogie powierzchowne urazy nadgarstka i ręki
S61.0,Otwarta rana palca (palców) bez uszkodzenia paznokcia
S61.1,Otwarta rana palca (palców) z uszkodzeniem paznokcia
S61.7,Mnogie rany otwarte nadgarstka i ręki
S61.8,Otwarta rana innych części nadgarstka i ręki
S61.9,Otwarta rana nadgarstka i ręki, część nieokreślona
S62.0,Złamanie kości łódeczkowatej
S62.1,Złamanie innej (innych) kości nadgarstka
S62.2,Złamanie i kości śródręcza
S62.3,Złamanie innej kości śródręcza
S62.4,Mnogie złamania kości śródręcza
S62.5,Złamanie kciuka
S62.6,Złamanie innego palca
S62.7,Mnogie złamania palców
S62.8,Złamanie innej i nieokreślonej części nadgarstka i ręki
S63.0,Zwichnięcie nadgarstka
S63.1,Zwichnięcie palca
S63.2,Mnogie zwichnięcia palców
S63.3,Urazowe pęknięcie więzadła nadgarstka
S63.4,Urazowe pęknięcie więzadła palca w stawach nadgarstkowo-śródręcznych i międzypaliczkowych
S63.5,Skręcenie i naderwanie nadgarstka
S63.6,Skręcenie i naderwanie palca (palców)
S63.7,Skręcenie i naderwanie innej i nieokreślonej części ręki
S64.0,Uraz nerwu łokciowego na poziomie nadgarstka i ręki
S64.1,Uraz nerwu pośrodkowego na poziomie nadgarstka i ręki
S64.2,Uraz gałęzi powierzchownej nerwu promieniowego na poziomie nadgarstka i ręki
S64.3,Uraz nerwu kciuka
S64.4,Uraz nerwu innego palca
S64.7,Uraz mnogich nerwów na poziomie nadgarstka i ręki
S64.8,Uraz innych nerwów na poziomie nadgarstka i ręki
S64.9,Uraz nieokreślonego nerwu na poziomie nadgarstka i ręki
S65.0,Uraz tętnicy łokciowej na poziomie nadgarstka i ręki
S65.1,Uraz tętnicy promieniowej na poziomie nadgarstka i ręki
S65.2,Uraz naczyń łuku dłoniowego powierzchownego
S65.3,Uraz naczyń łuku dłoniowego głębokiego
S65.4,Uraz naczynia (naczyń) krwionośnego kciuka
S65.5,Uraz naczynia (naczyń) krwionośnego innego palca
S65.7,Uraz mnogich naczyń krwionośnych na poziomie nadgarstka i ręki
S65.8,Uraz innych naczyń krwionośnych na poziomie nadgarstka i ręki
S65.9,Uraz nieokreślonego naczynia krwionośnego na poziomie nadgarstka i ręki
S66.0,Uraz mięśnia i ścięgna zginacza długiego kciuka na poziomie nadgarstka i ręki
S66.1,Uraz mięśnia i ścięgna zginacza innego palca na poziomie nadgarstka i ręki
S66.2,Uraz mięśnia i ścięgna prostownika kciuka na poziomie nadgarstka i ręki
S66.3,Uraz mięśnia i ścięgna prostownika innego palca na poziomie nadgarstka i ręki
S66.4,Uraz mięśnia i ścięgna odwodziciela kciuka na poziomie nadgarstka i ręki
S66.5,Uraz mięśnia i ścięgna właściwego innego palca na poziomie nadgarstka i ręki
S66.6,Uraz mnogich mięśni i ścięgien zginaczy na poziomie nadgarstka i ręki
S66.7,Uraz mnogich mięśni i ścięgien prostowników na poziomie nadgarstka i ręki
S66.8,Uraz innych mięśni i ścięgien na poziomie nadgarstka i ręki
S66.9,Uraz nieokreślonego mięśnia i ścięgna na poziomie nadgarstka i ręki
S67.0,Uraz zmiażdżeniowy kciuka i innego palca (palców)
S67.8,Uraz zmiażdżeniowy innych i nieokreślonych części nadgarstka i ręki
S68.0,Urazowa amputacja kciuka (całkowita) (częściowa)
S68.1,Urazowa amputacja pojedynczego, innego palca (całkowita) (częściowa)
S68.2,Urazowa amputacja dwóch lub więcej palców (całkowita) (częściowa)
S68.3,Złożona amputacja (części) palca (palców) i innej części nadgarstka i ręki
S68.4,Urazowa amputacja ręki na poziomie nadgarstka
S68.8,Urazowa amputacja innych części nadgarstka i ręki
S68.9,Urazowa amputacja nadgarstka i ręki, poziom nieokreślony
S69.7,Mnogie urazy nadgarstka i ręki
S69.8,Inne określone urazy nadgarstka i ręki
S69.9,Nieokreślony uraz nadgarstka i ręki
S70.0,Stłuczenie biodra
S70.1,Stłuczenie uda
S70.7,Mnogie powierzchowne urazy biodra i uda
S70.8,Inne powierzchowne urazy biodra i uda
S70.9,Powierzchowny uraz biodra i uda, nie określony
S71.0,Otwarta rana biodra
S71.1,Otwarta rana uda
S71.7,Mnogie rany otwarte biodra i uda
S71.8,Otwarta rana innych i nieokreślonych części obręczy miedniczej
S72.0,Złamanie szyjki kości udowej
S72.1,Złamanie przezkrętarzowe
S72.2,Złamanie podkrętarzowe
S72.3,Złamanie trzonu kości udowej
S72.4,Złamanie nasady dalszej kości udowej
S72.7,Mnogie złamania kości udowej
S72.8,Złamanie innych części kości udowej
S72.9,Złamanie kości udowej, część nieokreślona
S73.0,Zwichnięcie stawu biodrowego
S73.1,Skręcenie i naderwanie stawu biodrowego
S74.0,Uraz nerwu kulszowego na poziomie biodra i uda
S74.1,Uraz nerwu udowego na poziomie biodra i uda
S74.2,Uraz nerwu skórnego czuciowego na poziomie biodra i uda
S74.7,Uraz mnogich nerwów na poziomie biodra i uda
S74.8,Uraz innych nerwów na poziomie biodra i uda
S74.9,Uraz nieokreślonego nerwu na poziomie biodra i uda
S76.0,Uraz mięśnia i ścięgna biodra
S76.1,Uraz ścięgna i mięśnia czworogłowego uda
S76.2,Uraz ścięgna i mięśni przywodzących uda
S76.3,Uraz ścięgien i mięśni tylnej grupy mięśni uda
S76.4,Uraz innych nieokreślonych mięśni i ścięgien na poziomie uda
S76.7,Uraz mnogich mięśni i ścięgien na poziomie biodra i uda
S77.0,Uraz zmiażdżeniowy biodra
S77.1,Uraz zmiażdżeniowy uda
S77.2,Uraz zmiażdżeniowy biodra i uda
S78.0,Urazowa amputacja w stawie biodrowym
S78.1,Urazowa amputacja na poziomie między biodrem i kolanem
S78.9,Urazowa amputacja biodra i uda, poziom nieokreślony
S79.7,Liczne urazy biodra i uda
S79.8,Inne określone urazy biodra i uda
S79.9,Nieokreślony uraz biodra i uda
S80.0,Stłuczenie kolana
S80.1,Stłuczenie innych nieokreślonych części podudzia
S80.7,Mnogie powierzchowne urazy podudzia
S81.0,Otwarta rana kolana
S81.7,Mnogie rany otwarte podudzia
S81.8,Otwarta rana innych części podudzia
S81.9,Otwarta rana podudzia, część nieokreślona
S82.0,Złamanie rzepki
S82.1,Złamanie nasady bliższej piszczeli
S82.2,Złamanie trzonu piszczeli
S82.3,Złamanie nasady dalszej piszczeli
S82.4,Izolowane złamanie strzałki
S82.5,Złamanie kostki przyśrodkowej
S82.6,Złamanie kostki bocznej
S82.7,Mnogie złamania podudzia
S82.8,Złamanie innych części podudzia
S82.9,Złamanie podudzia, część nieokreślona
S83.0,Zwichnięcie rzepki
S83.1,Zwichnięcie stawu kolanowego
S83.2,Rozdarcie łąkotki, świeże
S83.3,Rozdarcie chrząstki stawowej kolana, świeże
S83.4,Skręcenie i naderwanie w obrębie (strzałkowego) (piszczelowego) więzadła pobocznego kolana
S83.5,Skręcenie i naderwanie w obrębie (przedniego) (tylnego) więzadła krzyżowego kolana
S83.6,Skręcenie i naderwanie innych, nie określonych części kolana
S83.7,Uraz kilku struktur kolana
S84.0,Uraz nerwu piszczelowego na poziomie podudzia
S84.1,Uraz nerwu strzałkowego wspólnego (powierzchownego) (głębokiego) na poziomie podudzia
S84.2,Uraz czuciowego nerwu skórnego na poziomie podudzia
S84.7,Uraz licznych nerwów na poziomie podudzia
S84.8,Uraz innych nerwów na poziomie podudzia
S84.9,Uraz nieokreślonego nerwu na poziomie podudzia
S85.1,Uraz (przedniej) (tylnej) tętnicy piszczelowej
S86.0,Uraz ścięgna Achillesa
S86.1,Uraz innego mięśnia (mięśni) i ścięgna (ścięgien) tylnej grupy mięśni podudzia
S86.2,Uraz mięśnia (mięśni) i ścięgna (ścięgien) przedniej grupy mięśni podudzia
S86.3,Uraz mięśnia (mięśni) i ścięgna (ścięgien) grupy mięśni strzałkowych na poziomie podudzia
S86.7,Uraz licznych mięśni i ścięgien na poziomie podudzia
S86.8,Uraz innych mięśni i ścięgien na poziomie podudzia
S86.9,Uraz nieokreślonego mięśnia i ścięgna na poziomie podudzia
S87.0,Uraz zmiażdżeniowy kolana
S87.8,Uraz zmiażdżeniowy innej i nieokreślonej części podudzia
S88.0,Urazowa amputacja na poziomie kolana
S88.1,Urazowa amputacja na poziomie między kolanem i stawem skokowym
S88.9,Urazowa amputacja podudzia, poziom nieokreślony
S89.7,Mnogie urazy podudzia
S89.8,Inne określone urazy podudzia
S89.9,Nieokreślony uraz podudzia
S90.2,Stłuczenie palca (palców) z uszkodzeniem paznokcia
S90.7,Mnogie powierzchowne urazy stawu skokowego i stopy
S91.0,Otwarta rana stawu skokowego
S91.1,Otwarta rana palca (palców) bez uszkodzenia paznokcia
S91.2,Otwarta rana palca (palców) z uszkodzeniem paznokcia
S91.3,Otwarta rana innych części stopy
S91.7,Mnogie otwarte rany stawu skokowego i stopy
S92.0,Złamanie kości piętowej
S92.1,Złamanie kości skokowej
S92.2,Złamanie innej (innych) kości stępu
S92.3,Złamanie kości śródstopia
S92.4,Złamanie palucha
S92.5,Złamanie innego palca stopy
S92.7,Mnogie złamania kości stopy
S93.0,Zwichnięcie stawu skokowego
S93.1,Zwichnięcie palca (palców) w:
S93.2,Pęknięcie więzadeł na poziomie stawu skokowego i stopy
S93.3,Zwichnięcie innych i nieokreślonych części stopy
S93.4,Skręcenie i naderwanie stawu skokowego
S93.5,Skręcenie i naderwanie palca (palców) w:
S93.6,Skręcenie i naderwanie innych i nieokreślonych części stopy
S94.0,Uraz nerwu podeszwowego bocznego
S94.1,Uraz nerwu podeszwowego przyśrodkowego
S94.2,Uraz nerwu strzałkowego głębokiego na poziomie stawu skokowego i stopy
S94.3,Uraz nerwu skórnego na poziomie stawu skokowego i stopy
S94.7,Uraz mnogich nerwów na poziomie stawu skokowego i stopy
S94.8,Uraz innych nerwów na poziomie stawu skokowego i stopy
S94.9,Uraz nieokreślonego nerwu na poziomie stawu skokowego i stopy
S95.0,Uraz tętnicy grzbietowej stopy
S95.1,Uraz tętnicy podeszwowej stopy
S95.2,Uraz żyły grzbietowej stopy
