A01, Badania laboratoryjne i inne -> Analityka -> Badanie ogólne moczu (profil)
81.911, Zabiegi naprawcze i plastyczne w zakresie stawów -> Inne zabiegi w zakresie stawów -> Nakłucie stawu -> Aspiracja stawu
81.92, Zabiegi naprawcze i plastyczne w zakresie stawów -> Inne zabiegi w zakresie stawów -> Wstrzyknięcie leku do stawu lub więzadeł
81.93, Zabiegi naprawcze i plastyczne w zakresie stawów -> Inne zabiegi w zakresie stawów -> Szycie torebki stawowej/ więzadeł kończyny górnej
81.94, Zabiegi naprawcze i plastyczne w zakresie stawów -> Inne zabiegi w zakresie stawów -> Szycie torebki stawowej/ więzadeł stawów stępu/ stopy
81.95, Zabiegi naprawcze i plastyczne w zakresie stawów -> Inne zabiegi w zakresie stawów -> Szycie torebki stawowej/ więzadeł nogi - inne
81.961, Zabiegi naprawcze i plastyczne w zakresie stawów -> Inne zabiegi w zakresie stawów -> Inny zabieg naprawczy stawu -> Zabieg otwarty z resekcją kości końca barkowego obojczyka i osteotomią wyrostka barkowego
81.969, Zabiegi naprawcze i plastyczne w zakresie stawów -> Inne zabiegi w zakresie stawów -> Inny zabieg naprawczy stawu -> Zabieg naprawczy stawu - inny
81.971, Zabiegi naprawcze i plastyczne w zakresie stawów -> Inne zabiegi w zakresie stawów -> Rewizja po endoprotezoplastyce stawu kończyny górnej -> Częściowa rewizja po endoprotezoplastyce stawu kończyny górnej
81.972, Zabiegi naprawcze i plastyczne w zakresie stawów -> Inne zabiegi w zakresie stawów -> Rewizja po endoprotezoplastyce stawu kończyny górnej -> Całkowita rewizja po endoprotezoplastyce stawu kończyny górnej
81.98, Zabiegi naprawcze i plastyczne w zakresie stawów -> Inne zabiegi w zakresie stawów -> Zabiegi diagnostyczne stawów - inne
81.99, Zabiegi naprawcze i plastyczne w zakresie stawów -> Inne zabiegi w zakresie stawów -> Operacje stawu - inne
82.011, Zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Operacja na mięśniu, ścięgnie i rozcięgnie dłoniowym -> Eksploracja pochewki ścięgnistej na ręce -> Eksploracja pochewki ścięgnistej na ręce - inna
82.012, Zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Operacja na mięśniu, ścięgnie i rozcięgnie dłoniowym -> Eksploracja pochewki ścięgnistej na ręce -> Nacięcie pochewki ścięgnistej na ręce
82.013, Zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Operacja na mięśniu, ścięgnie i rozcięgnie dłoniowym -> Eksploracja pochewki ścięgnistej na ręce -> Usunięcie ciałek ryżowatych pochewki ścięgnistej na ręce
82.02, Zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Operacja na mięśniu, ścięgnie i rozcięgnie dłoniowym -> Miotomia w zakresie ręki
82.03, Zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Operacja na mięśniu, ścięgnie i rozcięgnie dłoniowym -> Nacięcie kaletki maziowej ręki
82.04, Zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Operacja na mięśniu, ścięgnie i rozcięgnie dłoniowym -> Nacięcie/ drenaż dłoni/ kłębu kciuka
82.09, Zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Operacja na mięśniu, ścięgnie i rozcięgnie dłoniowym -> Nacięcie tkanek miękkich ręki - inne
82.11, Zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Przecięcie mięśnia, ścięgna i powięzi ręki -> Nacięcie ścięgna ręki
82.12, Zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Przecięcie mięśnia, ścięgna i powięzi ręki -> Nacięcie powięzi ręki
82.19, Zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Przecięcie mięśnia, ścięgna i powięzi ręki -> Rozdzielenie tkanek miękkich ręki - inne
82.211, Zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Wycięcie zmiany mięśnia, ścięgna i powięzi ręki -> Wycięcie zmiany pochewki ścięgna ręki -> Wycięcie torbieli galaretowatej pochewki ścięgna ręki (nadgarstek)
82.219, Zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Wycięcie zmiany mięśnia, ścięgna i powięzi ręki -> Wycięcie zmiany pochewki ścięgna ręki -> Wycięcie zmiany pochewki ścięgna ręki - inne
82.22, Zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Wycięcie zmiany mięśnia, ścięgna i powięzi ręki -> Wycięcie zmiany mięśnia ręki
82.29, Zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Wycięcie zmiany mięśnia, ścięgna i powięzi ręki -> Wycięcie zmiany tkanek miękkich ręki - inne
82.31, Zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Inne wycięcie tkanek miękkich ręki -> Wycięcie kaletki ręki
82.32, Zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Inne wycięcie tkanek miękkich ręki -> Wycięcie ścięgna ręki do przeszczepu
82.331, Zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Inne wycięcie tkanek miękkich ręki -> Wycięcie ścięgna ręki - inne -> Wycięcie ścięgna i torebki maziowej
82.339, Zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Inne wycięcie tkanek miękkich ręki -> Wycięcie ścięgna ręki - inne -> Wycięcie ścięgna ręki - inne
82.34, Zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Inne wycięcie tkanek miękkich ręki -> Wycięcie ścięgna/ powięzi ręki do przeszczepu
82.351, Zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Inne wycięcie tkanek miękkich ręki -> Wycięcie powięzi ręki - inne -> Uwolnienie przykurczu Dupuytrena
82.359, Zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Inne wycięcie tkanek miękkich ręki -> Wycięcie powięzi ręki - inne -> Wycięcie powięzi ręki - inne
82.36, Zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Inne wycięcie tkanek miękkich ręki -> Wycięcie mięśnia ręki - inne
82.39, Zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Inne wycięcie tkanek miękkich ręki -> Wycięcie tkanek miękkich ręki - inne
82.41, Zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Szycie mięśnia, ścięgna i powięzi ręki -> Szycie pochewki ścięgna ręki
82.42, Zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Szycie mięśnia, ścięgna i powięzi ręki -> Odroczone szycie ścięgna zginacza ręki
82.43, Zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Szycie mięśnia, ścięgna i powięzi ręki -> Odroczone szycie ścięgna ręki - inne
82.44, Zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Szycie mięśnia, ścięgna i powięzi ręki -> Szycie ścięgna zginacza ręki - inne
82.45, Zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Szycie mięśnia, ścięgna i powięzi ręki -> Szycie ścięgna ręki - inne
82.46, Zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Szycie mięśnia, ścięgna i powięzi ręki -> Szycie mięśnia/ powięzi ręki
82.51, Zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Przeszczep mięśnia i ścięgna ręki -> Wydłużenie ścięgna ręki
82.52, Zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Przeszczep mięśnia i ścięgna ręki -> Skrócenie ścięgna ręki
82.53, Zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Przeszczep mięśnia i ścięgna ręki -> Powtórne przytwierdzenie ścięgna ręki
82.54, Zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Przeszczep mięśnia i ścięgna ręki -> Powtórne przytwierdzenie mięśnia ręki
82.55, Zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Przeszczep mięśnia i ścięgna ręki -> Zmiana długości mięśnia/ ścięgna ręki - inna
82.56, Zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Przeszczep mięśnia i ścięgna ręki -> Przeszczep ścięgna ręki - inne
82.57, Zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Przeszczep mięśnia i ścięgna ręki -> Przemieszczenie ścięgna ręki - inne
82.58, Zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Przeszczep mięśnia i ścięgna ręki -> Przeszczepienie mięśnia ręki - inne
82.59, Zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Przeszczep mięśnia i ścięgna ręki -> Przemieszczenie mięśnia ręki - inne
82.61, Zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Rekonstrukcja kciuka -> Policyzacja palca
82.691, Zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Rekonstrukcja kciuka -> Rekonstrukcja kciuka - inne -> Przeszczepienie płata skórnego i kości do kciuka
82.692, Zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Rekonstrukcja kciuka -> Rekonstrukcja kciuka - inne -> Przeszczepienie kości do kciuka
82.693, Zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Rekonstrukcja kciuka -> Rekonstrukcja kciuka - inne -> Przeszczepienie uszypułowanego płata skórnego do kciuka
82.711, Zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Zabiegi plastyczne w zakresie ręki z przeszczepu lub wszczepu -> Rekonstrukcja bloczka ścięgna ręki -> Rekostrukcja dla plastyki m. przeciwstawnego
82.719, Zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Zabiegi plastyczne w zakresie ręki z przeszczepu lub wszczepu -> Rekonstrukcja bloczka ścięgna ręki -> Rekonstrukcja bloczka ścięgna ręki - inna
82.72, Zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Zabiegi plastyczne w zakresie ręki z przeszczepu lub wszczepu -> Operacja plastyczna ręki-przeszczep mięśnia/ powięzi
82.791, Zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Zabiegi plastyczne w zakresie ręki z przeszczepu lub wszczepu -> Operacja plastyczna ręki z przeszczepem - inne -> Graft ścięgna do ręki
82.799, Zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Zabiegi plastyczne w zakresie ręki z przeszczepu lub wszczepu -> Operacja plastyczna ręki z przeszczepem - inne -> Operacja plastyczna ręki z przeszczepem - inna
82.81, Zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Inne zabiegi plastyczne w zakresie ręki -> Przeniesienie palca, z wyjątkiem kciuka
82.82, Zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Inne zabiegi plastyczne w zakresie ręki -> Operacja rozszczepu ręki (cleft hand)
82.83, Zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Inne zabiegi plastyczne w zakresie ręki -> Korekcja makrodaktylii
82.84, Zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Inne zabiegi plastyczne w zakresie ręki -> Korekcja palca młotkowatego ręki
82.851, Zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Inne zabiegi plastyczne w zakresie ręki -> Tenodeza ręki - inne -> Ufiksowanie ścięgna ręki – nie określone inaczej
82.859, Zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Inne zabiegi plastyczne w zakresie ręki -> Tenodeza ręki - inne -> Tenodeza ręki - inna
82.861, Zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Inne zabiegi plastyczne w zakresie ręki -> Plastyka ścięgna ręki - inne -> Plastyka ścięgna i mięśnia ręki
82.869, Zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Inne zabiegi plastyczne w zakresie ręki -> Plastyka ścięgna ręki - inne -> Plastyka ścięgna ręki - inna
82.891, Zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Inne zabiegi plastyczne w zakresie ręki -> Operacje plastyczne ręki - inne -> Plikacja powięzi ręki
82.892, Zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Inne zabiegi plastyczne w zakresie ręki -> Operacje plastyczne ręki - inne -> Operacja przetoki powięzi ręki
82.899, Zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Inne zabiegi plastyczne w zakresie ręki -> Operacje plastyczne ręki - inne -> Operacje plastyczne ręki - inne
82.911, Zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Inne zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Uwolnienie zrostów ręki -> Uwolnienie zrostów powięzi, mięśni lub ścięgien ręki
82.919, Zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Inne zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Uwolnienie zrostów ręki -> Uwolnienie zrostów ręki - inne
82.92, Zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Inne zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Aspiracja z kaletki ręki
82.93, Zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Inne zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Aspiracja z tkanek miękkich ręki - inne
82.94, Zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Inne zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Wstrzyknięcie leku do kaletki ręki
82.95, Zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Inne zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Wstrzyknięcie leku do ścięgna ręki
82.96, Zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Inne zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Wstrzyknięcie leku działającego miejscowo do tkanek miękkich ręki - inne
82.99, Zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Inne zabiegi w zakresie mięśni, ścięgien i powięzi ręki -> Operacje mięśnia/ ścięgna/ powięzi ręki - inne
83.011, Zabiegi w zakresie mięśni, ścięgien, powięzi i kaletki, z wyjątkiem ręki -> Nacięcie mięśni, ścięgna, powięzi i kaletki -> Eksploracja pochewki ścięgna -> Nacięcie pochewki ścięgna
83.012, Zabiegi w zakresie mięśni, ścięgien, powięzi i kaletki, z wyjątkiem ręki -> Nacięcie mięśni, ścięgna, powięzi i kaletki -> Eksploracja pochewki ścięgna -> Usunięcie ciałek ryżowatych z torebki ścięgna
83.019, Zabiegi w zakresie mięśni, ścięgien, powięzi i kaletki, z wyjątkiem ręki -> Nacięcie mięśni, ścięgna, powięzi i kaletki -> Eksploracja pochewki ścięgna -> Eksploracja pochewki ścięgna - inne
83.02, Zabiegi w zakresie mięśni, ścięgien, powięzi i kaletki, z wyjątkiem ręki -> Nacięcie mięśni, ścięgna, powięzi i kaletki -> Miotomia
83.031, Zabiegi w zakresie mięśni, ścięgien, powięzi i kaletki, z wyjątkiem ręki -> Nacięcie mięśni, ścięgna, powięzi i kaletki -> Nacięcie kaletki -> Usunięcie wapiennych złogów z kaletki
83.039, Zabiegi w zakresie mięśni, ścięgien, powięzi i kaletki, z wyjątkiem ręki -> Nacięcie mięśni, ścięgna, powięzi i kaletki -> Nacięcie kaletki -> Nacięcie kaletki - inne
83.09, Zabiegi w zakresie mięśni, ścięgien, powięzi i kaletki, z wyjątkiem ręki -> Nacięcie mięśni, ścięgna, powięzi i kaletki -> Nacięcie mięśni, ścięgna, powięzi i kaletki - inne
83.11, Zabiegi w zakresie mięśni, ścięgien, powięzi i kaletki, z wyjątkiem ręki -> Nacięcie mięśnia, ścięgna i powięzi -> Nacięcie ścięgna Achillesa
83.12, Zabiegi w zakresie mięśni, ścięgien, powięzi i kaletki, z wyjątkiem ręki -> Nacięcie mięśnia, ścięgna i powięzi -> Przecięcie ścięgna przywodzicieli biodra
83.131, Zabiegi w zakresie mięśni, ścięgien, powięzi i kaletki, z wyjątkiem ręki -> Nacięcie mięśnia, ścięgna i powięzi -> Inne przecięcie ścięgna -> Nacięcie rozścięgna
83.132, Zabiegi w zakresie mięśni, ścięgien, powięzi i kaletki, z wyjątkiem ręki -> Nacięcie mięśnia, ścięgna i powięzi -> Inne przecięcie ścięgna -> Rozdzielenie ścięgna
83.133, Zabiegi w zakresie mięśni, ścięgien, powięzi i kaletki, z wyjątkiem ręki -> Nacięcie mięśnia, ścięgna i powięzi -> Inne przecięcie ścięgna -> Uwolnienie ścięgna
83.134, Zabiegi w zakresie mięśni, ścięgien, powięzi i kaletki, z wyjątkiem ręki -> Nacięcie mięśnia, ścięgna i powięzi -> Inne przecięcie ścięgna -> Rozcięcie ścięgna
83.135, Zabiegi w zakresie mięśni, ścięgien, powięzi i kaletki, z wyjątkiem ręki -> Nacięcie mięśnia, ścięgna i powięzi -> Inne przecięcie ścięgna -> Przecięcie ścięgna dla dekompresji klatki piersiowej
83.141, Zabiegi w zakresie mięśni, ścięgien, powięzi i kaletki, z wyjątkiem ręki -> Nacięcie mięśnia, ścięgna i powięzi -> Nacięcie powięzi -> Rozdzielenie powięzi
83.142, Zabiegi w zakresie mięśni, ścięgien, powięzi i kaletki, z wyjątkiem ręki -> Nacięcie mięśnia, ścięgna i powięzi -> Nacięcie powięzi -> Rozdzielenie pasma biodrowo-piszczelowego
83.143, Zabiegi w zakresie mięśni, ścięgien, powięzi i kaletki, z wyjątkiem ręki -> Nacięcie mięśnia, ścięgna i powięzi -> Nacięcie powięzi -> Odsłonięcie powięzi
83.144, Zabiegi w zakresie mięśni, ścięgien, powięzi i kaletki, z wyjątkiem ręki -> Nacięcie mięśnia, ścięgna i powięzi -> Nacięcie powięzi -> Uwolnienie przykurczu Volkmanna przez przecięcie powięzi
83.149, Zabiegi w zakresie mięśni, ścięgien, powięzi i kaletki, z wyjątkiem ręki -> Nacięcie mięśnia, ścięgna i powięzi -> Nacięcie powięzi -> Nacięcie powięzi - inne
83.191, Zabiegi w zakresie mięśni, ścięgien, powięzi i kaletki, z wyjątkiem ręki -> Nacięcie mięśnia, ścięgna i powięzi -> Rozdzielenie tkanek miękkich - inne -> Rozdzielenie mięśnia
83.192, Zabiegi w zakresie mięśni, ścięgien, powięzi i kaletki, z wyjątkiem ręki -> Nacięcie mięśnia, ścięgna i powięzi -> Rozdzielenie tkanek miękkich - inne -> Uwolnienie mięśnia
83.193, Zabiegi w zakresie mięśni, ścięgien, powięzi i kaletki, z wyjątkiem ręki -> Nacięcie mięśnia, ścięgna i powięzi -> Rozdzielenie tkanek miękkich - inne -> Miotomia dla dekompresji klatki piersiowej
83.194, Zabiegi w zakresie mięśni, ścięgien, powięzi i kaletki, z wyjątkiem ręki -> Nacięcie mięśnia, ścięgna i powięzi -> Rozdzielenie tkanek miękkich - inne -> Miotomia z rozdzieleniem
83.195, Zabiegi w zakresie mięśni, ścięgien, powięzi i kaletki, z wyjątkiem ręki -> Nacięcie mięśnia, ścięgna i powięzi -> Rozdzielenie tkanek miękkich - inne -> Przecięcie mięśnia pochyłego
83.196, Zabiegi w zakresie mięśni, ścięgien, powięzi i kaletki, z wyjątkiem ręki -> Nacięcie mięśnia, ścięgna i powięzi -> Rozdzielenie tkanek miękkich - inne -> Rozcięcie mięśnia
83.21, Zabiegi w zakresie mięśni, ścięgien, powięzi i kaletki, z wyjątkiem ręki -> Zabiegi diagnostyczne w zakresie mięśni, ścięgien, powięzi i kaletki, łącznie z ręką -> Biopsja tkanek miękkich
83.29, Zabiegi w zakresie mięśni, ścięgien, powięzi i kaletki, z wyjątkiem ręki -> Zabiegi diagnostyczne w zakresie mięśni, ścięgien, powięzi i kaletki, łącznie z ręką -> Zabiegi diagnostyczne mięśni, ścięgien, powięzi i kaletki, łącznie z ręką - inne
83.311, Zabiegi w zakresie mięśni, ścięgien, powięzi i kaletki, z wyjątkiem ręki -> Wycięcie zmiany mięśnia, ścięgna, powięzi i kaletki -> Wycięcie zmiany pochewki ścięgna -> Wycięcie zmiany pochewki ścięgna
83.312, Zabiegi w zakresie mięśni, ścięgien, powięzi i kaletki, z wyjątkiem ręki -> Wycięcie zmiany mięśnia, ścięgna, powięzi i kaletki -> Wycięcie zmiany pochewki ścięgna -> Wycięcie torbieli galaretowatej pochewki ścięgna, z wyjątkiem ręki
83.321, Zabiegi w zakresie mięśni, ścięgien, powięzi i kaletki, z wyjątkiem ręki -> Wycięcie zmiany mięśnia, ścięgna, powięzi i kaletki -> Wycięcie zmiany mięśnia -> Wycięcie heterotopowej kości
83.322, Zabiegi w zakresie mięśni, ścięgien, powięzi i kaletki, z wyjątkiem ręki -> Wycięcie zmiany mięśnia, ścięgna, powięzi i kaletki -> Wycięcie zmiany mięśnia -> Wycięcie zbliznowacenia mięśnia dla uwolnienia przykurczu Volkmanna
83.323, Zabiegi w zakresie mięśni, ścięgien, powięzi i kaletki, z wyjątkiem ręki -> Wycięcie zmiany mięśnia, ścięgna, powięzi i kaletki -> Wycięcie zmiany mięśnia -> Wycięcie zmiany kostniejącego zapalenia mięśni
83.329, Zabiegi w zakresie mięśni, ścięgien, powięzi i kaletki, z wyjątkiem ręki -> Wycięcie zmiany mięśnia, ścięgna, powięzi i kaletki -> Wycięcie zmiany mięśnia -> Wycięcie zmiany mięśnia - inne
83.391, Zabiegi w zakresie mięśni, ścięgien, powięzi i kaletki, z wyjątkiem ręki -> Wycięcie zmiany mięśnia, ścięgna, powięzi i kaletki -> Wycięcie zmiany tkanek miękkich - inne -> Wycięcie cysty Bakera
83.399, Zabiegi w zakresie mięśni, ścięgien, powięzi i kaletki, z wyjątkiem ręki -> Wycięcie zmiany mięśnia, ścięgna, powięzi i kaletki -> Wycięcie zmiany tkanek miękkich - inne -> Wycięcie zmiany tkanek miękkich - inne
83.41, Zabiegi w zakresie mięśni, ścięgien, powięzi i kaletki, z wyjątkiem ręki -> Inne wycięcie w zakresie mięśnia, ścięgna i powięzi -> Wycięcie ścięgna do przeszczepu
83.421, Zabiegi w zakresie mięśni, ścięgien, powięzi i kaletki, z wyjątkiem ręki -> Inne wycięcie w zakresie mięśnia, ścięgna i powięzi -> Wycięcie ścięgna - inne -> Wycięcie rozcięgna
83.422, Zabiegi w zakresie mięśni, ścięgien, powięzi i kaletki, z wyjątkiem ręki -> Inne wycięcie w zakresie mięśnia, ścięgna i powięzi -> Wycięcie ścięgna - inne -> Wycięcie pochewki ścięgna
83.423, Zabiegi w zakresie mięśni, ścięgien, powięzi i kaletki, z wyjątkiem ręki -> Inne wycięcie w zakresie mięśnia, ścięgna i powięzi -> Wycięcie ścięgna - inne -> Wycięcie ścięgna i błony maziowej
83.429, Zabiegi w zakresie mięśni, ścięgien, powięzi i kaletki, z wyjątkiem ręki -> Inne wycięcie w zakresie mięśnia, ścięgna i powięzi -> Wycięcie ścięgna - inne -> Wycięcie ścięgna - inne
83.43, Zabiegi w zakresie mięśni, ścięgien, powięzi i kaletki, z wyjątkiem ręki -> Inne wycięcie w zakresie mięśnia, ścięgna i powięzi -> Wycięcie mięśnia/ powięzi do przeszczepu
83.44, Zabiegi w zakresie mięśni, ścięgien, powięzi i kaletki, z wyjątkiem ręki -> Inne wycięcie w zakresie mięśnia, ścięgna i powięzi -> Wycięcie powięzi - inne
83.451, Zabiegi w zakresie mięśni, ścięgien, powięzi i kaletki, z wyjątkiem ręki -> Inne wycięcie w zakresie mięśnia, ścięgna i powięzi -> Wycięcie mięśnia - inne -> Oczyszczenie mięśnia - inne
83.452, Zabiegi w zakresie mięśni, ścięgien, powięzi i kaletki, z wyjątkiem ręki -> Inne wycięcie w zakresie mięśnia, ścięgna i powięzi -> Wycięcie mięśnia - inne -> Wycięcie mięśnia pochyłego
83.459, Zabiegi w zakresie mięśni, ścięgien, powięzi i kaletki, z wyjątkiem ręki -> Inne wycięcie w zakresie mięśnia, ścięgna i powięzi -> Wycięcie mięśnia - inne -> Wycięcie mięśnia - inne
83.49, Zabiegi w zakresie mięśni, ścięgien, powięzi i kaletki, z wyjątkiem ręki -> Inne wycięcie w zakresie mięśnia, ścięgna i powięzi -> Wycięcie tkanek miękkich - inne
83.5, Zabiegi w zakresie mięśni, ścięgien, powięzi i kaletki, z wyjątkiem ręki -> Wycięcie kaletki
83.61, Zabiegi w zakresie mięśni, ścięgien, powięzi i kaletki, z wyjątkiem ręki -> Szycie mięśnia, ścięgna i powięzi -> Szycie pochewki ścięgna
83.62, Zabiegi w zakresie mięśni, ścięgien, powięzi i kaletki, z wyjątkiem ręki -> Szycie mięśnia, ścięgna i powięzi -> Odroczone szycie ścięgna
83.63, Zabiegi w zakresie mięśni, ścięgien, powięzi i kaletki, z wyjątkiem ręki -> Szycie mięśnia, ścięgna i powięzi -> Operacja mankietu rotatorów
83.641, Zabiegi w zakresie mięśni, ścięgien, powięzi i kaletki, z wyjątkiem ręki -> Szycie mięśnia, ścięgna i powięzi -> Szycie ścięgna - inne -> Zeszycie ścięgna Achillesa
83.642, Zabiegi w zakresie mięśni, ścięgien, powięzi i kaletki, z wyjątkiem ręki -> Szycie mięśnia, ścięgna i powięzi -> Szycie ścięgna - inne -> Zeszycie rozcięgna
83.649, Zabiegi w zakresie mięśni, ścięgien, powięzi i kaletki, z wyjątkiem ręki -> Szycie mięśnia, ścięgna i powięzi -> Szycie ścięgna - inne -> Szycie ścięgna - inne
83.651, Zabiegi w zakresie mięśni, ścięgien, powięzi i kaletki, z wyjątkiem ręki -> Szycie mięśnia, ścięgna i powięzi -> Szycie mięśnia/ powięzi - inne -> Zabieg naprawczy rozstępu mięśni prostych brzucha
83.659, Zabiegi w zakresie mięśni, ścięgien, powięzi i kaletki, z wyjątkiem ręki -> Szycie mięśnia, ścięgna i powięzi -> Szycie mięśnia/ powięzi - inne -> Szycie mięśnia/ powięzi - inne
83.71, Zabiegi w zakresie mięśni, ścięgien, powięzi i kaletki, z wyjątkiem ręki -> Rekonstrukcja mięśnia i ścięgna -> Wydłużenie ścięgna
83.72, Zabiegi w zakresie mięśni, ścięgien, powięzi i kaletki, z wyjątkiem ręki -> Rekonstrukcja mięśnia i ścięgna -> Skrócenie ścięgna
83.73, Zabiegi w zakresie mięśni, ścięgien, powięzi i kaletki, z wyjątkiem ręki -> Rekonstrukcja mięśnia i ścięgna -> Powtórne przytwierdzenie ścięgna
83.74, Zabiegi w zakresie mięśni, ścięgien, powięzi i kaletki, z wyjątkiem ręki -> Rekonstrukcja mięśnia i ścięgna -> Powtórne przytwierdzenie mięśnia
83.75, Zabiegi w zakresie mięśni, ścięgien, powięzi i kaletki, z wyjątkiem ręki -> Rekonstrukcja mięśnia i ścięgna -> Przeniesienie/ przeszczep ścięgna
83.76, Zabiegi w zakresie mięśni, ścięgien, powięzi i kaletki, z wyjątkiem ręki -> Rekonstrukcja mięśnia i ścięgna -> Przemieszczenie ścięgna - inne
83.771, Zabiegi w zakresie mięśni, ścięgien, powięzi i kaletki, z wyjątkiem ręki -> Rekonstrukcja mięśnia i ścięgna -> Przeniesienie/ przeszczep mięśnia -> Uwolnienie przykurczu Volkmanna przez przeszczep mięśnia
83.779, Zabiegi w zakresie mięśni, ścięgien, powięzi i kaletki, z wyjątkiem ręki -> Rekonstrukcja mięśnia i ścięgna -> Przeniesienie/ przeszczep mięśnia -> Przeniesienie lub przeszczep mięśnia - inne
83.79, Zabiegi w zakresie mięśni, ścięgien, powięzi i kaletki, z wyjątkiem ręki -> Rekonstrukcja mięśnia i ścięgna -> Inne przemieszczenie mięśnia
83.81, Zabiegi w zakresie mięśni, ścięgien, powięzi i kaletki, z wyjątkiem ręki -> Inne zabiegi plastyczne w zakresie mięśnia, ścięgna, powięzi -> Przeszczep ścięgna
83.82, Zabiegi w zakresie mięśni, ścięgien, powięzi i kaletki, z wyjątkiem ręki -> Inne zabiegi plastyczne w zakresie mięśnia, ścięgna, powięzi -> Przeszczep mięśnia/ powięzi
83.83, Zabiegi w zakresie mięśni, ścięgien, powięzi i kaletki, z wyjątkiem ręki -> Inne zabiegi plastyczne w zakresie mięśnia, ścięgna, powięzi -> Rekonstrukcja bloczka ścięgna
